Step Size Beam'R X =1.663076,Beam'R X =3.223860,Beam'R X =0.000000,Beam'R X =0.000000	  
-35, 60, -27, 19   
-36, 59, -28, 19   
-36, 59, -28, 19   
-36, 59, -28, 19   
-36, 59, -28, 19   
-36, 59, -28, 19   
-36, 59, -28, 18   
-36, 59, -28, 17   
-36, 59, -28, 16   
-36, 59, -28, 14   
-36, 59, -28, 12   
-37, 59, -28, 9   
-37, 59, -28, 7   
-37, 59, -28, 5   
-37, 59, -29, 4   
-37, 59, -29, 3   
-37, 59, -29, 3   
-37, 59, -29, 3   
-37, 58, -29, 3   
-37, 56, -29, 3   
-37, 52, -29, 3   
-37, 48, -29, 3   
-37, 42, -29, 3   
-37, 35, -29, 3   
-37, 30, -29, 3   
-37, 25, -29, 3   
-37, 22, -29, 3   
-37, 20, -29, 3   
-37, 19, -29, 3   
-37, 19, -29, 3   
-37, 19, -29, 3   
-37, 19, -29, 3   
-38, 19, -29, 3   
-38, 19, -29, 3   
-38, 19, -29, 3   
-38, 19, -29, 3   
-38, 19, -29, 3   
-38, 19, -29, 3   
-38, 18, -29, 3   
-38, 18, -29, 3   
-38, 18, -29, 3   
-38, 18, -29, 3   
-38, 18, -29, 3   
-38, 18, -29, 3   
-38, 18, -29, 2   
-38, 18, -29, 2   
-38, 18, -29, 2   
-38, 18, -29, 1   
-38, 18, -29, 0   
-38, 18, -29, -1   
-38, 18, -29, -2   
-38, 18, -29, -2   
-38, 18, -29, -3   
-38, 17, -29, -3   
-38, 17, -29, -3   
-38, 17, -29, -3   
-38, 17, -29, -3   
-37, 16, -29, -3   
-37, 15, -29, -3   
-37, 13, -29, -3   
-37, 11, -28, -3   
-37, 8, -28, -3   
-37, 6, -28, -3   
-37, 4, -28, -3   
-37, 2, -28, -4   
-37, 1, -28, -4   
-37, 0, -28, -4   
-37, 0, -28, -4   
-37, 0, -28, -4   
-37, 0, -28, -4   
-37, 0, -28, -4   
-36, 0, -28, -4   
-36, 0, -28, -4   
-36, 0, -28, -4   
-36, 1, -27, -4   
-36, 1, -27, -4   
-36, 0, -27, -4   
-36, 0, -27, -4   
-36, 0, -27, -4   
-36, 0, -27, -4   
-36, 0, -27, -4   
-36, -1, -27, -4   
-36, -1, -27, -4   
-35, -1, -27, -4   
-35, -1, -27, -5   
-35, -1, -27, -5   
-35, -1, -27, -5   
-35, -1, -26, -5   
-35, -1, -26, -6   
-35, -1, -26, -6   
-35, -1, -26, -6   
-34, -1, -26, -6   
-34, 0, -26, -6   
-34, 0, -26, -6   
-34, 0, -26, -6   
-34, 0, -26, -6   
-34, -1, -26, -6   
-34, -1, -26, -6   
-34, -2, -26, -6   
-34, -2, -26, -6   
-34, -3, -26, -6   
-34, -5, -25, -6   
-33, -6, -25, -6   
-33, -7, -25, -6   
-33, -8, -25, -6   
-33, -8, -25, -6   
-33, -8, -25, -6   
-33, -8, -25, -6   
-33, -8, -25, -6   
-33, -8, -25, -6   
-33, -8, -25, -6   
-33, -8, -25, -6   
-33, -8, -25, -6   
-32, -8, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-32, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -8, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-31, -7, -24, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-32, -7, -25, -6   
-33, -7, -26, -6   
-33, -7, -26, -6   
-33, -7, -26, -6   
-33, -7, -26, -6   
-33, -7, -26, -6   
-33, -7, -26, -6   
-33, -7, -26, -6   
-33, -7, -26, -6   
-34, -7, -26, -6   
-34, -7, -26, -6   
-34, -7, -26, -6   
-34, -7, -26, -6   
-34, -7, -26, -6   
-34, -7, -27, -6   
-34, -7, -27, -6   
-34, -7, -27, -6   
-34, -7, -27, -6   
-35, -7, -27, -6   
-35, -7, -27, -6   
-35, -7, -27, -6   
-35, -7, -28, -6   
-35, -7, -28, -6   
-35, -7, -28, -6   
-35, -7, -28, -6   
-35, -7, -28, -6   
-36, -7, -28, -6   
-36, -7, -28, -6   
-36, -7, -28, -6   
-36, -7, -28, -6   
-36, -7, -28, -6   
-36, -7, -28, -6   
-36, -7, -28, -6   
-36, -7, -28, -6   
-36, -7, -29, -6   
-37, -7, -29, -6   
-37, -7, -29, -6   
-37, -7, -29, -6   
-37, -7, -29, -6   
-37, -7, -29, -6   
-37, -7, -29, -6   
-37, -7, -29, -6   
-37, -7, -29, -6   
-38, -7, -29, -6   
-38, -7, -30, -6   
-38, -7, -30, -6   
-38, -7, -30, -6   
-38, -7, -30, -6   
-38, -7, -30, -6   
-39, -7, -30, -6   
-39, -7, -30, -6   
-39, -7, -31, -6   
-39, -7, -31, -6   
-39, -7, -31, -6   
-39, -7, -31, -6   
-39, -7, -31, -6   
-39, -7, -31, -6   
-40, -7, -31, -6   
-40, -7, -31, -6   
-40, -7, -31, -6   
-40, -7, -31, -6   
-40, -7, -32, -6   
-40, -7, -32, -6   
-41, -7, -32, -6   
-41, -7, -32, -6   
-41, -7, -32, -6   
-41, -7, -33, -6   
-41, -7, -33, -6   
-41, -7, -33, -6   
-41, -7, -33, -6   
-41, -7, -33, -6   
-42, -7, -33, -6   
-42, -7, -33, -6   
-42, -7, -33, -6   
-42, -7, -33, -6   
-42, -7, -33, -6   
-42, -7, -33, -6   
-42, -7, -33, -6   
-42, -7, -34, -6   
-43, -7, -34, -6   
-43, -7, -34, -6   
-43, -7, -34, -6   
-43, -7, -34, -6   
-43, -7, -34, -6   
-43, -7, -34, -6   
-43, -7, -34, -6   
-43, -7, -34, -6   
-43, -7, -34, -5   
-44, -7, -34, -5   
-44, -7, -34, -5   
-44, -7, -34, -5   
-44, -7, -34, -5   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -34, -6   
-44, -7, -33, -6   
-44, -7, -33, -5   
-44, -7, -33, -5   
-44, -7, -33, -5   
-44, -7, -33, -5   
-44, -7, -33, -5   
-43, -7, -33, -5   
-43, -7, -33, -5   
-43, -7, -33, -5   
-43, -7, -33, -5   
-43, -7, -33, -5   
-43, -7, -33, -5   
-43, -7, -33, -5   
-43, -7, -32, -5   
-42, -7, -32, -5   
-42, -7, -32, -5   
-42, -7, -32, -5   
-42, -7, -32, -5   
-42, -7, -31, -5   
-41, -7, -31, -5   
-41, -7, -31, -5   
-41, -7, -31, -5   
-41, -7, -30, -5   
-40, -7, -30, -5   
-40, -7, -30, -5   
-40, -7, -30, -5   
-39, -7, -29, -5   
-39, -7, -29, -5   
-39, -7, -29, -5   
-38, -7, -29, -5   
-38, -7, -28, -5   
-37, -7, -28, -5   
-37, -7, -28, -5   
-36, -7, -27, -5   
-36, -7, -27, -5   
-36, -7, -26, -5   
-35, -7, -26, -5   
-35, -7, -25, -5   
-34, -7, -25, -5   
-34, -7, -25, -5   
-33, -7, -24, -5   
-33, -7, -24, -5   
-32, -7, -23, -5   
-32, -7, -23, -5   
-31, -7, -22, -5   
-31, -7, -22, -5   
-30, -7, -21, -5   
-30, -7, -21, -5   
-29, -7, -20, -5   
-29, -7, -19, -5   
-28, -7, -19, -5   
-27, -7, -18, -5   
-27, -7, -18, -5   
-26, -7, -17, -5   
-25, -7, -17, -5   
-25, -7, -16, -5   
-24, -7, -15, -5   
-23, -7, -15, -5   
-22, -7, -14, -5   
-21, -7, -14, -5   
-21, -7, -13, -5   
-20, -7, -12, -5   
-19, -7, -11, -5   
-18, -7, -11, -5   
-18, -7, -10, -5   
-17, -7, -9, -5   
-16, -7, -8, -5   
-15, -7, -8, -5   
-14, -7, -7, -5   
-13, -7, -6, -5   
-12, -7, -5, -5   
-11, -7, -4, -5   
-10, -7, -4, -5   
-9, -7, -3, -5   
-8, -7, -2, -5   
-7, -7, -2, -5   
-6, -7, -1, -5   
-5, -7, 0, -5   
-4, -7, 1, -5   
-3, -7, 2, -5   
-2, -7, 3, -5   
-1, -7, 4, -5   
1, -7, 4, -5   
2, -7, 5, -5   
3, -7, 6, -5   
4, -7, 7, -5   
5, -7, 8, -5   
6, -7, 9, -4   
7, -6, 9, -4   
9, -6, 10, -4   
10, -6, 11, -4   
11, -6, 12, -4   
12, -6, 13, -4   
13, -6, 14, -4   
15, -6, 15, -4   
16, -6, 16, -4   
17, -6, 17, -4   
18, -6, 18, -4   
20, -6, 19, -5   
21, -6, 20, -5   
22, -6, 21, -5   
24, -6, 22, -5   
25, -6, 23, -5   
26, -6, 24, -5   
27, -6, 25, -5   
29, -6, 26, -5   
30, -6, 27, -5   
31, -6, 29, -5   
33, -6, 30, -5   
34, -6, 31, -5   
35, -6, 32, -5   
37, -6, 33, -5   
38, -6, 34, -4   
40, -6, 35, -4   
41, -6, 37, -4   
43, -6, 38, -4   
44, -6, 39, -4   
45, -6, 40, -4   
47, -6, 41, -4   
48, -6, 42, -4   
50, -6, 43, -4   
51, -6, 44, -4   
53, -6, 45, -4   
54, -6, 47, -4   
56, -6, 48, -4   
57, -6, 49, -4   
58, -6, 50, -4   
60, -6, 51, -4   
61, -6, 52, -4   
63, -6, 53, -4   
64, -6, 55, -4   
65, -6, 56, -4   
67, -6, 57, -4   
68, -6, 58, -4   
70, -6, 59, -4   
71, -6, 60, -4   
73, -6, 61, -4   
74, -6, 63, -4   
76, -6, 64, -4   
77, -6, 65, -4   
78, -6, 66, -4   
80, -6, 67, -4   
81, -6, 68, -4   
83, -6, 70, -4   
84, -6, 71, -4   
85, -6, 72, -4   
87, -6, 73, -4   
88, -6, 74, -4   
90, -6, 75, -4   
91, -6, 76, -4   
92, -6, 77, -4   
94, -6, 78, -4   
95, -6, 79, -4   
97, -6, 80, -4   
98, -6, 81, -4   
99, -6, 82, -4   
100, -6, 83, -4   
102, -6, 84, -4   
103, -6, 85, -4   
104, -6, 85, -4   
106, -6, 86, -3   
107, -6, 87, -3   
108, -6, 89, -3   
109, -6, 90, -3   
111, -6, 91, -3   
112, -6, 92, -3   
113, -6, 93, -3   
114, -6, 94, -3   
115, -6, 95, -3   
117, -6, 96, -3   
118, -6, 97, -3   
119, -6, 97, -3   
120, -6, 98, -3   
121, -6, 99, -3   
122, -5, 100, -3   
123, -5, 101, -3   
124, -5, 101, -3   
125, -5, 102, -3   
126, -5, 103, -3   
127, -5, 104, -3   
128, -5, 104, -3   
129, -5, 105, -3   
130, -5, 105, -3   
131, -5, 106, -3   
132, -5, 106, -3   
133, -5, 107, -3   
134, -5, 107, -3   
134, -5, 108, -3   
135, -5, 109, -3   
136, -5, 109, -3   
137, -5, 109, -3   
137, -5, 110, -3   
138, -5, 110, -3   
139, -5, 110, -3   
139, -5, 111, -3   
140, -5, 111, -3   
140, -5, 111, -3   
141, -5, 112, -3   
142, -5, 112, -3   
142, -5, 113, -3   
143, -5, 113, -3   
143, -5, 113, -3   
144, -5, 114, -3   
144, -5, 114, -3   
144, -5, 114, -3   
145, -5, 115, -2   
145, -5, 115, -2   
145, -5, 115, -2   
146, -5, 115, -2   
146, -5, 115, -2   
146, -5, 116, -2   
147, -5, 116, -2   
147, -5, 116, -2   
147, -5, 116, -2   
147, -5, 116, -2   
147, -5, 116, -2   
148, -5, 116, -3   
148, -5, 116, -3   
148, -5, 116, -3   
148, -5, 116, -3   
148, -5, 116, -3   
148, -5, 117, -3   
148, -5, 117, -3   
148, -5, 116, -3   
148, -5, 116, -3   
147, -5, 116, -3   
147, -5, 116, -3   
147, -5, 116, -2   
147, -5, 115, -2   
147, -5, 115, -2   
147, -5, 115, -2   
146, -5, 115, -2   
146, -5, 114, -2   
146, -5, 114, -2   
146, -5, 114, -2   
145, -5, 113, -2   
145, -5, 113, -2   
145, -5, 113, -2   
144, -5, 112, -2   
144, -5, 112, -2   
143, -5, 111, -2   
143, -5, 111, -2   
142, -5, 111, -2   
142, -5, 110, -2   
141, -5, 110, -2   
140, -5, 109, -2   
140, -5, 109, -2   
139, -5, 108, -2   
139, -5, 108, -2   
138, -5, 107, -1   
137, -5, 107, -1   
136, -5, 106, -1   
136, -5, 106, -1   
135, -5, 105, -1   
134, -4, 104, -1   
133, -4, 103, -1   
132, -4, 102, -1   
131, -4, 102, -1   
130, -4, 101, -1   
129, -4, 100, -1   
129, -4, 99, -1   
128, -4, 98, -1   
127, -4, 97, -1   
126, -4, 96, -1   
125, -4, 96, -1   
123, -4, 95, -1   
122, -4, 94, -1   
121, -4, 93, -1   
120, -4, 92, -1   
119, -4, 91, -1   
118, -4, 90, -1   
117, -4, 90, -1   
116, -4, 89, -1   
114, -4, 88, -1   
113, -4, 87, -1   
112, -4, 86, -1   
111, -4, 85, -1   
110, -4, 84, -1   
109, -4, 83, -1   
107, -4, 82, -1   
106, -4, 82, -1   
105, -4, 81, -1   
103, -4, 80, -1   
102, -4, 79, 0   
101, -4, 78, 0   
100, -4, 76, 0   
98, -4, 75, 0   
97, -4, 74, 0   
96, -4, 73, 0   
95, -3, 72, 0   
94, -3, 71, 0   
92, -3, 70, 0   
91, -3, 69, 0   
90, -3, 67, 0   
88, -3, 66, 0   
87, -3, 65, 0   
86, -3, 64, 0   
84, -3, 63, 0   
83, -3, 62, 0   
82, -3, 61, 0   
80, -3, 60, 0   
79, -3, 59, 0   
78, -3, 58, 0   
76, -3, 57, 0   
75, -3, 56, 0   
74, -3, 55, 0   
72, -3, 54, 0   
71, -3, 53, 0   
70, -3, 52, 0   
68, -3, 51, 0   
67, -3, 50, 0   
66, -3, 49, 0   
65, -3, 48, 0   
64, -3, 47, 1   
63, -3, 46, 1   
61, -3, 45, 1   
60, -3, 44, 1   
59, -3, 43, 1   
58, -3, 42, 1   
56, -3, 41, 1   
55, -2, 40, 1   
54, -2, 39, 1   
53, -2, 38, 1   
51, -2, 37, 2   
50, -2, 37, 2   
49, -2, 36, 2   
48, -2, 35, 2   
47, -2, 34, 2   
46, -2, 33, 2   
45, -2, 33, 2   
44, -2, 32, 2   
43, -2, 31, 2   
42, -1, 31, 2   
41, -1, 30, 3   
40, -1, 29, 3   
39, -1, 28, 3   
38, -1, 27, 3   
37, -1, 27, 3   
36, -1, 26, 3   
35, -1, 26, 3   
35, -1, 25, 3   
34, -1, 24, 3   
33, -1, 24, 3   
33, -1, 23, 3   
32, 0, 23, 3   
31, 0, 23, 3   
30, 0, 22, 3   
30, 0, 22, 3   
29, 0, 22, 3   
29, 0, 21, 3   
28, 0, 21, 3   
28, 0, 21, 4   
27, 0, 21, 4   
27, 0, 21, 4   
26, 0, 20, 4   
26, 0, 20, 4   
26, 0, 20, 4   
25, 0, 20, 4   
25, 0, 20, 4   
25, 0, 20, 4   
25, 0, 20, 5   
25, 0, 20, 5   
25, 1, 20, 5   
25, 1, 20, 5   
25, 1, 20, 5   
25, 1, 20, 5   
25, 1, 20, 6   
25, 1, 21, 6   
26, 1, 21, 6   
26, 1, 22, 6   
26, 2, 22, 6   
27, 2, 23, 6   
27, 2, 23, 6   
28, 2, 24, 6   
28, 2, 24, 6   
29, 2, 25, 7   
29, 2, 25, 7   
30, 2, 26, 7   
31, 2, 27, 7   
32, 2, 28, 7   
32, 3, 28, 7   
33, 3, 29, 7   
34, 3, 30, 7   
35, 3, 31, 7   
36, 3, 32, 7   
38, 3, 33, 8   
39, 3, 34, 8   
40, 3, 35, 8   
42, 3, 36, 8   
43, 3, 37, 8   
44, 3, 38, 8   
46, 3, 40, 9   
47, 4, 41, 9   
49, 4, 43, 9   
51, 4, 44, 9   
53, 4, 46, 9   
55, 4, 47, 10   
57, 4, 49, 10   
59, 5, 50, 10   
61, 5, 52, 10   
63, 5, 54, 11   
65, 5, 56, 11   
67, 5, 58, 11   
69, 5, 60, 11   
72, 6, 62, 11   
74, 6, 64, 12   
77, 6, 66, 12   
79, 6, 68, 12   
82, 6, 70, 12   
85, 7, 72, 12   
87, 7, 74, 13   
90, 7, 77, 13   
93, 7, 79, 13   
96, 7, 82, 13   
99, 8, 84, 13   
102, 8, 87, 14   
106, 8, 90, 14   
109, 8, 93, 14   
113, 8, 96, 14   
116, 8, 99, 14   
120, 8, 102, 15   
123, 9, 105, 15   
127, 9, 107, 15   
131, 9, 110, 15   
135, 9, 113, 16   
139, 9, 116, 16   
143, 9, 120, 16   
147, 10, 123, 16   
151, 10, 126, 17   
155, 10, 130, 17   
159, 10, 133, 17   
163, 10, 136, 18   
168, 11, 140, 18   
173, 11, 143, 18   
177, 11, 147, 18   
182, 11, 151, 19   
187, 12, 155, 19   
192, 12, 159, 19   
197, 12, 163, 20   
202, 12, 167, 20   
207, 13, 171, 20   
212, 13, 175, 21   
218, 13, 179, 21   
223, 13, 183, 21   
229, 14, 188, 22   
234, 14, 192, 22   
240, 14, 197, 22   
246, 15, 202, 23   
252, 15, 206, 23   
258, 15, 211, 23   
264, 15, 216, 24   
270, 16, 221, 24   
276, 16, 226, 24   
282, 16, 231, 25   
288, 17, 236, 25   
294, 17, 241, 25   
301, 17, 246, 26   
307, 17, 252, 26   
314, 18, 257, 26   
321, 18, 262, 27   
327, 18, 268, 27   
334, 18, 273, 28   
341, 19, 279, 28   
348, 19, 284, 29   
355, 19, 290, 29   
363, 20, 296, 29   
370, 20, 302, 30   
377, 20, 308, 30   
385, 21, 314, 31   
392, 21, 320, 31   
400, 21, 326, 32   
407, 22, 332, 32   
415, 22, 338, 33   
423, 23, 345, 33   
431, 23, 351, 34   
439, 23, 358, 34   
447, 24, 364, 35   
455, 24, 371, 35   
463, 24, 378, 36   
472, 25, 384, 36   
480, 25, 391, 37   
488, 26, 398, 37   
497, 26, 405, 38   
505, 27, 411, 38   
514, 27, 418, 39   
522, 28, 425, 39   
531, 28, 432, 40   
539, 28, 440, 40   
548, 29, 447, 41   
557, 29, 454, 41   
566, 30, 462, 42   
575, 30, 469, 42   
