Sample#, X-Step size = 1.6631, Y-Step size = 3.2239 ; 
#1, -35, 60 ; 
#2, -36, 59 ; 
#3, -36, 59 ; 
#4, -36, 59 ; 
#5, -36, 59 ; 
#6, -36, 59 ; 
#7, -36, 59 ; 
#8, -36, 59 ; 
#9, -36, 59 ; 
#10, -36, 59 ; 
#11, -36, 59 ; 
#12, -37, 59 ; 
#13, -37, 59 ; 
#14, -37, 59 ; 
#15, -37, 59 ; 
#16, -37, 59 ; 
#17, -37, 59 ; 
#18, -37, 59 ; 
#19, -37, 58 ; 
#20, -37, 56 ; 
#21, -37, 52 ; 
#22, -37, 48 ; 
#23, -37, 42 ; 
#24, -37, 35 ; 
#25, -37, 30 ; 
#26, -37, 25 ; 
#27, -37, 22 ; 
#28, -37, 20 ; 
#29, -37, 19 ; 
#30, -37, 19 ; 
#31, -37, 19 ; 
#32, -37, 19 ; 
#33, -38, 19 ; 
#34, -38, 19 ; 
#35, -38, 19 ; 
#36, -38, 19 ; 
#37, -38, 19 ; 
#38, -38, 19 ; 
#39, -38, 18 ; 
#40, -38, 18 ; 
#41, -38, 18 ; 
#42, -38, 18 ; 
#43, -38, 18 ; 
#44, -38, 18 ; 
#45, -38, 18 ; 
#46, -38, 18 ; 
#47, -38, 18 ; 
#48, -38, 18 ; 
#49, -38, 18 ; 
#50, -38, 18 ; 
#51, -38, 18 ; 
#52, -38, 18 ; 
#53, -38, 18 ; 
#54, -38, 17 ; 
#55, -38, 17 ; 
#56, -38, 17 ; 
#57, -38, 17 ; 
#58, -37, 16 ; 
#59, -37, 15 ; 
#60, -37, 13 ; 
#61, -37, 11 ; 
#62, -37, 8 ; 
#63, -37, 6 ; 
#64, -37, 4 ; 
#65, -37, 2 ; 
#66, -37, 1 ; 
#67, -37, 0 ; 
#68, -37, 0 ; 
#69, -37, 0 ; 
#70, -37, 0 ; 
#71, -37, 0 ; 
#72, -36, 0 ; 
#73, -36, 0 ; 
#74, -36, 0 ; 
#75, -36, 1 ; 
#76, -36, 1 ; 
#77, -36, 0 ; 
#78, -36, 0 ; 
#79, -36, 0 ; 
#80, -36, 0 ; 
#81, -36, 0 ; 
#82, -36, -1 ; 
#83, -36, -1 ; 
#84, -35, -1 ; 
#85, -35, -1 ; 
#86, -35, -1 ; 
#87, -35, -1 ; 
#88, -35, -1 ; 
#89, -35, -1 ; 
#90, -35, -1 ; 
#91, -35, -1 ; 
#92, -34, -1 ; 
#93, -34, 0 ; 
#94, -34, 0 ; 
#95, -34, 0 ; 
#96, -34, 0 ; 
#97, -34, -1 ; 
#98, -34, -1 ; 
#99, -34, -2 ; 
#100, -34, -2 ; 
#101, -34, -3 ; 
#102, -34, -5 ; 
#103, -33, -6 ; 
#104, -33, -7 ; 
#105, -33, -8 ; 
#106, -33, -8 ; 
#107, -33, -8 ; 
#108, -33, -8 ; 
#109, -33, -8 ; 
#110, -33, -8 ; 
#111, -33, -8 ; 
#112, -33, -8 ; 
#113, -33, -8 ; 
#114, -32, -8 ; 
#115, -32, -7 ; 
#116, -32, -7 ; 
#117, -32, -7 ; 
#118, -32, -7 ; 
#119, -32, -7 ; 
#120, -32, -7 ; 
#121, -32, -7 ; 
#122, -32, -7 ; 
#123, -32, -7 ; 
#124, -32, -7 ; 
#125, -32, -7 ; 
