            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
            0.307                0           -0.005         -46.9352         -5.68504         -1.45711
          0.30714                0           -0.005     -2.76576e+06         -3769.36          -165709
          0.30728                0           -0.005     -2.77448e+06         -3728.03          -167166
          0.30742                0           -0.005     -2.78321e+06         -3686.69          -168622
         0.307561                0           -0.005     -2.79193e+06         -3645.36          -170079
         0.307701                0           -0.005     -2.80068e+06         -3656.79          -171431
         0.307841                0           -0.005     -2.80959e+06         -3967.03          -172190
         0.307981                0           -0.005     -2.81798e+06         -3945.56          -172929
         0.308121                0           -0.005     -2.82587e+06         -3598.82          -173646
         0.308261                0           -0.005     -2.83375e+06            -3252          -174364
         0.308401                0           -0.005     -2.84446e+06         -4031.11          -178667
         0.308542                0           -0.005     -2.85632e+06          -5275.3          -184452
         0.308682                0           -0.005     -2.86818e+06         -6519.48          -190237
         0.308822                0           -0.005     -2.88005e+06         -7763.93          -196022
         0.308962                0           -0.005     -2.89184e+06         -8903.94          -201768
         0.309102                0           -0.005     -2.90296e+06          -8997.3          -207117
         0.309242                0           -0.005     -2.91408e+06         -9090.67          -212468
         0.309382                0           -0.005      -2.9252e+06         -9184.03          -217818
         0.309523                0           -0.005     -2.93632e+06         -9277.38          -223168
         0.309663                0           -0.005     -2.95254e+06         -7923.16          -225630
         0.309803                0           -0.005     -2.97084e+06         -5978.94          -226914
         0.309943                0           -0.005     -2.98913e+06         -4034.72          -228197
         0.310083                0           -0.005     -3.00743e+06         -2090.08          -229481
         0.310223                0           -0.005     -3.02573e+06         -145.851          -230765
         0.310363                0           -0.005     -3.04402e+06          1798.35          -232049
         0.310504                0           -0.005     -3.06232e+06          3743.01          -233333
         0.310644                0           -0.005     -3.08062e+06          5687.23          -234617
         0.310784                0           -0.005     -3.09892e+06          7631.45          -235900
         0.310924                0           -0.005     -3.11722e+06          9576.09          -237184
         0.311064                0           -0.005     -3.13551e+06          11520.3          -238468
         0.311204                0           -0.005     -3.15381e+06          13464.5          -239752
         0.311344                0           -0.005     -3.17211e+06          15409.2          -241036
         0.311484                0           -0.005      -3.1904e+06          17353.4          -242319
         0.311625                0           -0.005     -3.20493e+06            17934          -242357
         0.311765                0           -0.005     -3.21935e+06          18470.2          -242354
         0.311905                0           -0.005     -3.23376e+06          19006.3          -242352
         0.312045                0           -0.005     -3.24817e+06          19542.3          -242349
         0.312185                0           -0.005     -3.26258e+06          20078.5          -242346
         0.312325                0           -0.005     -3.27699e+06          20614.6          -242343
         0.312465                0           -0.005      -3.2914e+06          21150.7          -242340
         0.312606                0           -0.005     -3.30581e+06          21686.9          -242337
         0.312746                0           -0.005     -3.32022e+06            22223          -242335
         0.312886                0           -0.005     -3.33463e+06          22759.1          -242332
         0.313026                0           -0.005     -3.34904e+06          23295.3          -242329
         0.313166                0           -0.005     -3.36345e+06          23831.3          -242326
         0.313306                0           -0.005     -3.37786e+06          24367.4          -242323
         0.313446                0           -0.005     -3.39227e+06          24903.5          -242320
         0.313587                0           -0.005     -3.40669e+06          25439.7          -242318
         0.313727                0           -0.005      -3.4211e+06          25975.8          -242315
         0.313867                0           -0.005     -3.43523e+06            26185          -242382
         0.314007                0           -0.005     -3.44916e+06          26158.7          -242499
         0.314147                0           -0.005     -3.46309e+06          26132.3          -242617
         0.314287                0           -0.005     -3.47654e+06          25599.8          -242503
         0.314427                0           -0.005     -3.48771e+06          22708.6          -241315
         0.314568                0           -0.005     -3.49888e+06            19818          -240126
         0.314708                0           -0.005     -3.51004e+06          16927.4          -238938
         0.314848                0           -0.005     -3.52121e+06          14036.2          -237749
         0.314988                0           -0.005     -3.53238e+06          11145.6          -236560
         0.315128                0           -0.005     -3.54355e+06          8254.94          -235372
         0.315268                0           -0.005     -3.55472e+06          5363.73          -234183
         0.315408                0           -0.005     -3.56589e+06          2473.12          -232995
         0.315549                0           -0.005     -3.57705e+06         -417.477          -231806
