            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
            0.307                0            0.002     -2.96196e+06           -579.6          11409.7
          0.30714                0            0.002     -2.96652e+06         -2641.68          14578.6
          0.30728                0            0.002     -2.96922e+06         -5354.69            18478
          0.30742                0            0.002     -2.96954e+06         -5063.93            19471
         0.307561                0            0.002     -2.96986e+06         -5229.78          20364.5
         0.307701                0            0.002     -2.97018e+06         -5633.03          21206.4
         0.307841                0            0.002      -2.9705e+06         -6036.36          22048.5
         0.307981                0            0.002     -2.97082e+06         -6439.61          22890.3
         0.308121                0            0.002     -2.97114e+06         -6842.85          23732.2
         0.308261                0            0.002     -2.97374e+06         -4317.04          26176.7
         0.308401                0            0.002     -2.97833e+06         -1851.54          28556.6
         0.308542                0            0.002     -2.98543e+06         -1553.81          29685.3
         0.308682                0            0.002     -2.99253e+06         -1256.08          30814.1
         0.308822                0            0.002     -2.99963e+06         -958.294          31943.1
         0.308962                0            0.002     -3.00673e+06         -660.568          33071.8
         0.309102                0            0.002     -3.01383e+06         -362.842          34200.5
         0.309242                0            0.002     -3.02093e+06         -65.0518          35329.5
         0.309382                0            0.002     -3.02803e+06          232.673          36458.2
         0.309523                0            0.002     -3.03512e+06           1253.8          39354.1
         0.309663                0            0.002     -3.04222e+06          2883.71          43737.1
         0.309803                0            0.002     -3.04931e+06          4513.26          48119.2
         0.309943                0            0.002     -3.05584e+06          4161.66          53449.3
         0.310083                0            0.002     -3.06226e+06           3408.1          58972.7
         0.310223                0            0.002     -3.06868e+06           2654.7            64495
         0.310363                0            0.002     -3.07509e+06           1901.3          70017.3
         0.310504                0            0.002     -3.08151e+06          1147.73          75540.7
         0.310644                0            0.002     -3.08793e+06          394.323            81063
         0.310784                0            0.002     -3.09434e+06         -359.078          86585.3
         0.310924                0            0.002     -3.10637e+06            56.21          88668.3
         0.311064                0            0.002     -3.11866e+06          525.549          90591.5
         0.311204                0            0.002      -3.1314e+06          1007.27          92194.5
         0.311344                0            0.002     -3.14535e+06          1522.44          92939.4
         0.311484                0            0.002      -3.1593e+06          2037.47          93684.2
         0.311625                0            0.002     -3.17325e+06          2552.49          94429.1
         0.311765                0            0.002      -3.1872e+06          3067.65            95174
         0.311905                0            0.002     -3.20115e+06          3582.68          95918.8
         0.312045                0            0.002     -3.21497e+06           4081.1          96682.1
         0.312185                0            0.002     -3.22804e+06          4477.93            97559
         0.312325                0            0.002      -3.2411e+06          4874.66          98435.8
         0.312465                0            0.002     -3.25416e+06          5271.43          99312.4
         0.312606                0            0.002     -3.26723e+06          5668.24           100189
         0.312746                0            0.002     -3.28029e+06          6064.98           101066
         0.312886                0            0.002     -3.29335e+06          6461.72           101943
         0.313026                0            0.002     -3.30642e+06          6858.53           102820
         0.313166                0            0.002     -3.31948e+06          7255.25           103696
         0.313306                0            0.002     -3.33254e+06          7652.01           104573
         0.313446                0            0.002      -3.3456e+06          8048.75           105450
         0.313587                0            0.002     -3.35867e+06          8445.57           106327
         0.313727                0            0.002     -3.37173e+06          8842.32           107203
         0.313867                0            0.002     -3.38479e+06          9239.05           108080
         0.314007                0            0.002     -3.39786e+06          9635.88           108957
         0.314147                0            0.002     -3.41092e+06          10032.6           109834
         0.314287                0            0.002     -3.42398e+06          10429.4           110710
         0.314427                0            0.002     -3.43705e+06          10826.2           111587
         0.314568                0            0.002     -3.45011e+06          11222.9           112464
         0.314708                0            0.002     -3.46317e+06          11619.7           113341
         0.314848                0            0.002     -3.47624e+06          12016.5           114218
         0.314988                0            0.002      -3.4893e+06          12413.2           115094
         0.315128                0            0.002     -3.50236e+06            12810           115971
         0.315268                0            0.002     -3.51404e+06          11580.4           115530
         0.315408                0            0.002     -3.52419e+06          8564.93           113642
         0.315549                0            0.002     -3.53434e+06          5549.48           111753
         0.315689                0            0.002     -3.54449e+06          2533.35           109865
         0.315829                0            0.002     -3.55465e+06         -482.086           107976
         0.315969                0            0.002      -3.5648e+06         -3497.53           106088
         0.316109                0            0.002     -3.57495e+06         -6513.64           104199
         0.316249                0            0.002      -3.5851e+06         -9529.11           102311
         0.316389                0            0.002     -3.59525e+06         -12544.6           100422
          0.31653                0            0.002     -3.60541e+06         -15560.7          98533.6
          0.31667                0            0.002     -3.61556e+06         -18576.1          96645.3
          0.31681                0            0.002     -3.62571e+06         -21591.6            94757
          0.31695                0            0.002     -3.63586e+06         -24607.7          92868.2
          0.31709                0            0.002     -3.64602e+06         -27623.1          90979.9
          0.31723                0            0.002     -3.65617e+06         -30638.6          89091.5
          0.31737                0            0.002     -3.66632e+06         -33654.7          87202.8
         0.317511                0            0.002     -3.67647e+06         -36670.1          85314.4
         0.317651                0            0.002     -3.68662e+06         -39685.6          83426.1
         0.317791                0            0.002     -3.69564e+06         -38847.1          80514.3
         0.317931                0            0.002     -3.70426e+06         -36628.9          77235.5
         0.318071                0            0.002     -3.71287e+06         -34411.2          73957.5
         0.318211                0            0.002     -3.72148e+06         -32193.6          70679.4
         0.318351                0            0.002      -3.7301e+06         -29975.4          67400.7
         0.318491                0            0.002     -3.73871e+06         -27757.7          64122.6
         0.318632                0            0.002     -3.74733e+06         -25540.1          60844.6
         0.318772                0            0.002     -3.75594e+06         -23321.9          57565.8
         0.318912                0            0.002     -3.76455e+06         -21104.3          54287.8
         0.319052                0            0.002     -3.77317e+06         -18886.6          51009.7
         0.319192                0            0.002     -3.78178e+06         -16668.4            47731
         0.319332                0            0.002      -3.7904e+06         -14450.8          44452.9
         0.319472                0            0.002     -3.79901e+06         -12233.1          41174.9
         0.319613                0            0.002     -3.80762e+06         -10014.9          37896.1
         0.319753                0            0.002     -3.81624e+06         -7797.26          34618.1
         0.319893                0            0.002     -3.82485e+06         -5579.59            31340
         0.320033                0            0.002     -3.83347e+06         -3361.45          28061.3
         0.320173                0            0.002     -3.84208e+06         -1143.77          24783.3
         0.320313                0            0.002     -3.85019e+06         -626.295          25053.6
         0.320453                0            0.002      -3.8583e+06         -118.244          25343.8
         0.320594                0            0.002     -3.86641e+06          389.705          25633.9
         0.320734                0            0.002     -3.87452e+06           897.65          25924.1
         0.320874                0            0.002     -3.88263e+06           1405.7          26214.3
         0.321014                0            0.002     -3.89074e+06          1913.65          26504.5
         0.321154                0            0.002     -3.89885e+06           2421.6          26794.7
         0.321294                0            0.002     -3.90696e+06          2929.66          27084.9
         0.321434                0            0.002     -3.91507e+06          3437.61            27375
         0.321575                0            0.002     -3.92317e+06          3945.56          27665.2
         0.321715                0            0.002     -3.93128e+06          4453.61          27955.4
         0.321855                0            0.002     -3.93939e+06          4961.56          28245.6
         0.321995                0            0.002      -3.9475e+06          5469.51          28535.8
         0.322135                0            0.002     -3.95561e+06          5977.46          28825.9
         0.322275                0            0.002     -3.96372e+06          6485.52          29116.2
         0.322415                0            0.002     -3.97183e+06          6993.46          29406.3
         0.322556                0            0.002     -3.97994e+06          7501.42          29696.5
         0.322696                0            0.002     -3.98805e+06          8009.47          29986.7
         0.322836                0            0.002     -3.99616e+06          8517.42          30276.9
         0.322976                0            0.002     -4.00427e+06          9025.37            30567
         0.323116                0            0.002     -4.01238e+06          9533.43          30857.3
         0.323256                0            0.002     -4.02049e+06          10041.4          31147.4
         0.323396                0            0.002     -4.02859e+06          10549.3          31437.6
         0.323537                0            0.002     -4.03671e+06          11057.4          31727.8
         0.323677                0            0.002     -4.04481e+06          11565.3            32018
         0.323817                0            0.002     -4.05292e+06          12073.3          32308.2
         0.323957                0            0.002     -4.06103e+06          12581.3          32598.4
         0.324097                0            0.002     -4.06321e+06          10035.2          31547.2
         0.324237                0            0.002     -4.06495e+06          7266.88          30398.5
         0.324377                0            0.002      -4.0667e+06          4497.98          29249.6
         0.324518                0            0.002     -4.06844e+06          1729.68          28100.9
         0.324658                0            0.002     -4.07019e+06         -1038.64          26952.1
         0.324798                0            0.002     -4.07194e+06         -3807.54          25803.2
         0.324938                0            0.002     -4.07368e+06         -6575.84          24654.5
         0.325078                0            0.002     -4.07543e+06         -9344.16          23505.7
         0.325218                0            0.002     -4.07717e+06           -12113          22356.8
         0.325358                0            0.002     -4.07892e+06         -14881.4          21208.1
         0.325498                0            0.002     -4.08066e+06         -17649.7          20059.4
         0.325639                0            0.002     -4.08241e+06         -20418.6          18910.4
         0.325779                0            0.002     -4.08415e+06         -23186.9          17761.7
         0.325919                0            0.002      -4.0859e+06         -25955.2            16613
         0.326059                0            0.002     -4.08764e+06         -28724.1            15464
         0.326199                0            0.002     -4.08939e+06         -31492.4          14315.3
         0.326339                0            0.002     -4.09113e+06         -34260.7          13166.6
         0.326479                0            0.002     -4.09288e+06           -37029          12017.9
          0.32662                0            0.002     -4.09462e+06         -39797.9          10868.9
          0.32676                0            0.002     -4.09637e+06         -42566.2          9720.17
           0.3269                0            0.002     -4.09811e+06         -45334.5          8571.47
          0.32704                0            0.002     -4.09986e+06         -48103.4          7422.51
          0.32718                0            0.002      -4.1016e+06         -50871.7          6273.79
          0.32732                0            0.002     -4.10335e+06           -53640          5125.07
          0.32746                0            0.002     -4.10509e+06         -56408.9          3976.11
         0.327601                0            0.002     -4.10684e+06         -59177.2           2827.4
         0.327741                0            0.002     -4.10858e+06         -61945.6          1678.69
         0.327881                0            0.002     -4.11012e+06           -64485          596.575
         0.328021                0            0.002     -4.10815e+06         -63129.5          649.218
         0.328161                0            0.002     -4.10618e+06           -61774          701.865
         0.328301                0            0.002     -4.10421e+06         -60418.1          754.517
         0.328441                0            0.002     -4.10224e+06         -59062.6          807.162
         0.328582                0            0.002     -4.10027e+06         -57707.1          859.808
         0.328722                0            0.002      -4.0983e+06         -56351.3          912.459
         0.328862                0            0.002     -4.09633e+06         -54995.8          965.106
         0.329002                0            0.002     -4.09436e+06         -53640.2          1017.75
         0.329142                0            0.002     -4.09239e+06         -52284.4          1070.41
         0.329282                0            0.002     -4.09042e+06         -50928.9          1123.05
         0.329422                0            0.002     -4.08845e+06         -49573.4           1175.7
         0.329563                0            0.002     -4.08648e+06         -48217.6          1228.35
         0.329703                0            0.002     -4.08451e+06           -46862          1280.99
         0.329843                0            0.002     -4.08254e+06         -45506.5          1333.64
         0.329983                0            0.002     -4.08057e+06         -44150.7          1386.29
         0.330123                0            0.002      -4.0786e+06         -42795.2          1438.94
         0.330263                0            0.002     -4.07663e+06         -41439.7          1491.58
         0.330403                0            0.002     -4.07466e+06         -40083.8          1544.24
         0.330544                0            0.002     -4.07269e+06         -38728.3          1596.88
