            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
            0.307           -0.002                0     -2.93798e+06         -15352.1           227.55
          0.30714           -0.002                0     -2.93744e+06         -21229.8          4005.57
          0.30728           -0.002                0      -2.9376e+06         -27635.3          7538.15
          0.30742           -0.002                0     -2.94171e+06         -37010.2          9691.09
         0.307561           -0.002                0     -2.94431e+06         -40457.9           9167.9
         0.307701           -0.002                0     -2.94665e+06         -42951.9          8214.07
         0.307841           -0.002                0       -2.949e+06         -45446.4          7260.04
         0.307981           -0.002                0     -2.95134e+06         -47940.4          6306.22
         0.308121           -0.002                0     -2.95369e+06         -50434.4          5352.39
         0.308261           -0.002                0     -2.95603e+06           -52929          4398.36
         0.308401           -0.002                0     -2.95783e+06         -54664.6          4341.64
         0.308542           -0.002                0     -2.96408e+06         -56884.4          1392.37
         0.308682           -0.002                0     -2.97045e+06         -57135.3          1144.31
         0.308822           -0.002                0     -2.97682e+06         -57386.2          896.194
         0.308962           -0.002                0      -2.9832e+06         -57637.2          648.135
         0.309102           -0.002                0     -2.98957e+06         -57888.1          400.058
         0.309242           -0.002                0     -2.99594e+06           -58139          151.941
         0.309382           -0.002                0     -3.00231e+06         -58389.9          -96.124
         0.309523           -0.002                0     -3.00869e+06         -58640.9         -344.208
         0.309663           -0.002                0     -3.01506e+06         -58891.8         -592.314
         0.309803           -0.002                0     -3.02143e+06         -59142.7         -840.395
         0.309943           -0.002                0      -3.0278e+06         -59393.6         -1088.44
         0.310083           -0.002                0     -3.03418e+06         -59644.6         -1336.59
         0.310223           -0.002                0     -3.04531e+06         -64088.7         -551.251
         0.310363           -0.002                0     -3.05699e+06         -69010.6          351.817
         0.310504           -0.002                0     -3.06867e+06         -73933.5          1255.07
         0.310644           -0.002                0     -3.08035e+06         -78855.4          2158.13
         0.310784           -0.002                0     -3.09203e+06         -83777.3          3061.21
         0.310924           -0.002                0     -3.10371e+06         -88700.2          3964.44
         0.311064           -0.002                0     -3.11618e+06         -90371.4          4475.34
         0.311204           -0.002                0     -3.12915e+06         -89992.3          4738.87
         0.311344           -0.002                0     -3.14213e+06           -89613          5002.44
         0.311484           -0.002                0      -3.1551e+06         -89233.8          5265.96
         0.311625           -0.002                0     -3.16807e+06         -88854.6          5529.48
         0.311765           -0.002                0     -3.18105e+06         -88475.3          5793.07
         0.311905           -0.002                0     -3.19402e+06         -88096.1          6056.58
         0.312045           -0.002                0     -3.20699e+06         -87716.9          6320.11
         0.312185           -0.002                0     -3.21997e+06         -87337.7          6583.69
         0.312325           -0.002                0     -3.23294e+06         -86958.5          6847.21
         0.312465           -0.002                0     -3.24591e+06         -86579.3          7110.73
         0.312606           -0.002                0     -3.25889e+06           -86200           7374.3
         0.312746           -0.002                0     -3.27186e+06         -85820.8          7637.83
         0.312886           -0.002                0     -3.28483e+06         -85441.6          7901.35
         0.313026           -0.002                0     -3.29781e+06         -85062.4          8164.93
         0.313166           -0.002                0     -3.31078e+06         -84683.2          8428.45
         0.313306           -0.002                0     -3.32375e+06           -84304          8691.97
         0.313446           -0.002                0     -3.33672e+06         -83924.8          8955.49
         0.313587           -0.002                0      -3.3497e+06         -83545.5          9219.07
         0.313727           -0.002                0     -3.36267e+06         -83166.3          9482.59
         0.313867           -0.002                0     -3.37564e+06         -82787.1           9746.1
         0.314007           -0.002                0     -3.38862e+06         -82407.9          10009.7
         0.314147           -0.002                0     -3.40159e+06         -82028.7          10273.2
         0.314287           -0.002                0     -3.41456e+06         -81649.5          10536.7
         0.314427           -0.002                0     -3.42757e+06         -81301.7          10829.5
         0.314568           -0.002                0     -3.44085e+06         -81209.1          11358.2
         0.314708           -0.002                0     -3.45413e+06         -81116.5          11886.9
         0.314848           -0.002                0      -3.4674e+06         -81023.9          12415.7
         0.314988           -0.002                0     -3.48068e+06         -80931.3          12944.4
         0.315128           -0.002                0     -3.49399e+06           -80915          13458.3
         0.315268           -0.002                0     -3.50781e+06         -82086.9          13744.1
         0.315408           -0.002                0     -3.52164e+06         -83258.5          14029.8
         0.315549           -0.002                0     -3.53546e+06         -84430.2          14315.5
         0.315689           -0.002                0     -3.54928e+06         -85602.1          14601.3
         0.315829           -0.002                0     -3.56454e+06         -84348.7          14598.9
         0.315969           -0.002                0      -3.5819e+06         -79531.4            14173
         0.316109           -0.002                0     -3.59753e+06         -75061.8          13199.4
         0.316249           -0.002                0     -3.60515e+06         -72204.8          9694.61
         0.316389           -0.002                0     -3.61278e+06         -69347.8          6189.79
          0.31653           -0.002                0     -3.62041e+06         -66490.2          2684.22
          0.31667           -0.002                0     -3.62803e+06         -63633.2         -820.589
          0.31681           -0.002                0     -3.63566e+06         -60776.3         -4325.42
          0.31695           -0.002                0     -3.64329e+06         -57918.7         -7830.96
          0.31709           -0.002                0     -3.65091e+06         -55061.7         -11335.8
          0.31723           -0.002                0     -3.65854e+06         -52204.7         -14840.6
          0.31737           -0.002                0     -3.66583e+06           -49689         -17415.2
         0.317511           -0.002                0     -3.67225e+06         -48077.6         -17528.3
         0.317651           -0.002                0     -3.67867e+06         -46466.2         -17641.4
         0.317791           -0.002                0     -3.68509e+06         -44854.7         -17754.5
         0.317931           -0.002                0      -3.6922e+06         -43698.3         -17701.2
         0.318071           -0.002                0     -3.70031e+06         -43190.4         -17411.1
         0.318211           -0.002                0     -3.70842e+06         -42682.4         -17120.9
         0.318351           -0.002                0     -3.71653e+06         -42174.4         -16830.7
         0.318491           -0.002                0     -3.72464e+06         -41666.4         -16540.5
         0.318632           -0.002                0     -3.73275e+06         -41158.5         -16250.4
         0.318772           -0.002                0     -3.74086e+06         -40650.4         -15960.1
         0.318912           -0.002                0     -3.74897e+06         -40142.5           -15670
         0.319052           -0.002                0     -3.75708e+06         -39634.5         -15379.8
         0.319192           -0.002                0     -3.76519e+06         -39126.5         -15089.6
         0.319332           -0.002                0      -3.7733e+06         -38618.5         -14799.4
         0.319472           -0.002                0     -3.78141e+06         -38110.6         -14509.2
         0.319613           -0.002                0     -3.78952e+06         -37602.5           -14219
         0.319753           -0.002                0     -3.79762e+06         -37094.6         -13928.9
         0.319893           -0.002                0     -3.80573e+06         -36586.6         -13638.7
         0.320033           -0.002                0     -3.81384e+06         -36078.6         -13348.5
         0.320173           -0.002                0     -3.82195e+06         -35570.6         -13058.3
