            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
            0.307            0.002                0      -2.9588e+06          13794.4          1684.24
          0.30714            0.002                0     -2.96148e+06          16391.8         -1201.07
          0.30728            0.002                0     -2.96417e+06          18989.1         -4086.38
          0.30742            0.002                0     -2.96686e+06            21587          -6972.3
         0.307561            0.002                0     -2.96746e+06          23290.7          -7914.6
         0.307701            0.002                0     -2.96763e+06          24804.5         -8443.83
         0.307841            0.002                0     -2.96779e+06          26318.6         -8973.18
         0.307981            0.002                0     -2.96808e+06            27584         -9903.52
         0.308121            0.002                0     -2.96847e+06          28647.9         -11159.3
         0.308261            0.002                0     -2.96885e+06            29712         -12415.3
         0.308401            0.002                0     -2.97251e+06          32945.2         -10108.1
         0.308542            0.002                0     -2.97708e+06            36791         -6794.65
         0.308682            0.002                0     -2.98311e+06          37581.6         -5424.51
         0.308822            0.002                0     -2.98978e+06          37019.5         -4914.62
         0.308962            0.002                0     -2.99645e+06          36457.6         -4404.83
         0.309102            0.002                0     -3.00412e+06          37158.4         -3781.37
         0.309242            0.002                0     -3.01341e+06          39888.8         -2975.08
         0.309382            0.002                0      -3.0227e+06          42618.6         -2168.97
         0.309523            0.002                0     -3.03199e+06          45348.4         -1362.86
         0.309663            0.002                0     -3.04128e+06          48078.8         -556.565
         0.309803            0.002                0     -3.05056e+06          50808.6          249.547
         0.309943            0.002                0     -3.05916e+06          53974.5          409.645
         0.310083            0.002                0     -3.06744e+06          57339.7          275.489
         0.310223            0.002                0     -3.07572e+06          60704.1          141.365
         0.310363            0.002                0       -3.084e+06          64068.5          7.23462
         0.310504            0.002                0     -3.09228e+06          67433.7         -126.917
         0.310644            0.002                0     -3.10056e+06          70798.2         -261.048
         0.310784            0.002                0     -3.10884e+06          74162.6         -395.167
         0.310924            0.002                0     -3.11712e+06          77527.8         -529.329
         0.311064            0.002                0      -3.1254e+06          80892.2         -663.451
         0.311204            0.002                0     -3.13368e+06          84256.6         -797.576
         0.311344            0.002                0     -3.14196e+06          87621.8         -931.736
         0.311484            0.002                0     -3.15024e+06          90986.2         -1065.86
         0.311625            0.002                0     -3.15852e+06          94350.7         -1199.98
         0.311765            0.002                0     -3.17005e+06          95352.8         -630.937
         0.311905            0.002                0     -3.18282e+06          95442.1          209.582
         0.312045            0.002                0      -3.1956e+06          95531.3           1050.1
         0.312185            0.002                0     -3.20838e+06          95620.6          1890.81
         0.312325            0.002                0     -3.22116e+06          95709.8          2731.33
         0.312465            0.002                0     -3.23393e+06          95799.1          3571.85
         0.312606            0.002                0     -3.24671e+06          95888.4          4412.55
