            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
            0.307                0                0     -3.03221e+06     -3.16982e-08     -2.46343e-09
          0.30714                0                0     -3.02981e+06         -123.143         -397.809
          0.30728                0                0     -3.02742e+06         -246.286         -795.618
          0.30742                0                0     -3.02502e+06         -369.455         -1193.51
         0.307561                0                0     -3.02263e+06         -492.598         -1591.32
         0.307701                0                0     -3.02023e+06         -615.741         -1989.13
         0.307841                0                0     -3.01784e+06          -738.91         -2387.02
         0.307981                0                0     -3.01544e+06         -862.053         -2784.83
         0.308121                0                0     -3.01305e+06         -985.196         -3182.64
         0.308261                0                0     -3.01183e+06         -947.663         -3521.29
         0.308401                0                0     -3.01412e+06          776.359          -2279.3
         0.308542                0                0     -3.02116e+06          958.235         -1233.97
         0.308682                0                0     -3.02783e+06          396.292         -724.184
         0.308822                0                0     -3.03342e+06          509.339          439.404
         0.308962                0                0     -3.03868e+06          830.066          1803.86
         0.309102                0                0     -3.04393e+06          1124.33          3118.97
         0.309242                0                0     -3.04911e+06          946.408          3553.63
         0.309382                0                0     -3.05429e+06          768.525          3988.21
         0.309523                0                0     -3.05947e+06          590.651           4422.8
         0.309663                0                0     -3.06465e+06          412.729          4857.47
         0.309803                0                0     -3.06983e+06          234.861          5292.07
         0.309943                0                0     -3.07501e+06          56.9692          5726.63
         0.310083                0                0     -3.08019e+06         -120.941          6161.32
         0.310223                0                0     -3.08537e+06         -298.833          6595.88
         0.310363                0                0     -3.09055e+06         -476.706          7030.48
         0.310504                0                0     -3.09572e+06         -654.628          7465.14
         0.310644                0                0      -3.1009e+06         -832.508          7899.72
         0.310784                0                0     -3.10737e+06           141.12          6072.16
         0.310924                0                0      -3.1151e+06          2244.91          2024.33
         0.311064                0                0     -3.12283e+06          4348.28         -2022.65
         0.311204                0                0     -3.13056e+06          6451.64         -6069.62
         0.311344                0                0     -3.14203e+06           7305.9         -7010.13
         0.311484                0                0     -3.15497e+06          7670.84         -6733.97
         0.311625                0                0      -3.1679e+06          8035.78          -6457.8
         0.311765                0                0     -3.18084e+06          8400.81         -6181.57
         0.311905                0                0     -3.19378e+06          8765.75          -5905.4
         0.312045                0                0     -3.20671e+06          9130.69         -5629.23
         0.312185                0                0     -3.21965e+06          9495.71         -5353.01
         0.312325                0                0     -3.23258e+06          9860.66         -5076.84
         0.312465                0                0     -3.24545e+06          10097.8         -4539.06
         0.312606                0                0     -3.25823e+06          10187.1         -3698.37
         0.312746                0                0       -3.271e+06          10276.3         -2857.85
         0.312886                0                0     -3.28378e+06          10365.6         -2017.32
         0.313026                0                0     -3.29656e+06          10454.9         -1176.61
         0.313166                0                0     -3.30934e+06          10544.1         -336.099
         0.313306                0                0     -3.32211e+06          10633.4          504.419
         0.313446                0                0     -3.33489e+06          10722.6          1344.95
         0.313587                0                0     -3.34767e+06          10811.9          2185.64
         0.313727                0                0     -3.36044e+06          10901.1          3026.17
         0.313867                0                0     -3.37338e+06          11161.7          3881.64
         0.314007                0                0     -3.38645e+06          11576.6          4750.76
         0.314147                0                0     -3.39951e+06          11991.4          5619.73
         0.314287                0                0     -3.41258e+06          12406.2          6488.67
         0.314427                0                0     -3.42565e+06          12821.1          7357.79
         0.314568                0                0     -3.43872e+06          13235.9          8226.75
         0.314708                0                0     -3.45179e+06          13650.7          9095.68
         0.314848                0                0     -3.46486e+06          14065.6          9964.79
         0.314988                0                0     -3.47793e+06          14480.4          10833.7
         0.315128                0                0       -3.491e+06          14895.2          11702.7
         0.315268                0                0     -3.50407e+06          15310.1          12571.8
         0.315408                0                0     -3.51714e+06            15725          13440.8
         0.315549                0                0     -3.53193e+06          15631.9          13361.3
         0.315689                0                0     -3.54882e+06          14914.2          12115.3
         0.315829                0                0     -3.56572e+06          14196.7          10869.7
         0.315969                0                0     -3.58262e+06          13479.2          9624.08
         0.316109                0                0     -3.59741e+06          12287.3          8231.28
         0.316249                0                0       -3.606e+06          9695.53          6405.21
         0.316389                0                0     -3.61459e+06          7103.76          4579.15
          0.31653                0                0     -3.62317e+06          4511.43          2752.69
          0.31667                0                0     -3.63176e+06          1919.66          926.635
