            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
           0.0035           -0.125                0          16135.3          19001.4         -2.71042
           0.0135           -0.125                0          16288.7          73576.8         -43.5082
           0.0235           -0.125                0            16513           128790         -2.72023
           0.0335           -0.125                0          16902.6           185140         -41.4827
           0.0435           -0.125                0          17455.5           243219             96.5
           0.0535           -0.125                0          18358.9           303720         -65.0074
           0.0635           -0.125                0          19250.6           367068         -81.2684
           0.0735           -0.125                0          20455.2           434103          9.75974
           0.0835           -0.125                0          21975.4           505729         -76.8345
           0.0935           -0.125                0          23802.2           582886         -131.166
           0.1035           -0.125                0            25974           666580         -33.9469
           0.1135           -0.125                0          28660.4           758109           343.51
           0.1235           -0.125                0          31321.8           858886         -63.5751
           0.1335           -0.125                0            35314           971155         -104.491
           0.1435           -0.125                0          39263.9      1.08654e+06          108.884
           0.1535           -0.125                0          44103.6      1.17306e+06          226.485
           0.1635           -0.125                0          49949.4       1.3949e+06         -615.983
           0.1735           -0.125                0          56534.7      1.57387e+06         -81.7523
           0.1835           -0.125                0          62515.2      1.77416e+06         -565.077
           0.1935           -0.125                0          68692.7      1.99649e+06         -269.701
           0.2035           -0.125                0            73256       2.1659e+06         -2190.37
           0.2135           -0.125                0            74678      2.48935e+06         -150.608
           0.2235           -0.125                0            71084       2.7365e+06          6.25052
           0.2335           -0.125                0          60998.4      2.96089e+06          31.1465
           0.2435           -0.125                0          43637.2      3.14061e+06         -118.623
           0.2535           -0.125                0          22355.3      3.25561e+06          -101.01
           0.2635           -0.125                0         -1428.92      3.28859e+06          75.8208
           0.2735           -0.125                0         -28953.6      3.23406e+06         -463.886
           0.2835           -0.125                0         -51789.5      3.09981e+06          -339.06
           0.2935           -0.125                0           -69062      2.81721e+06         -39.8517
           0.3035           -0.125                0         -81909.1      2.63547e+06         -700.662
           0.3135           -0.125                0         -87559.6      2.34643e+06          -391.28
           0.3235           -0.125                0         -88558.6        2.048e+06          225.012
           0.3335           -0.125                0         -84576.6      1.67691e+06          65.8827
           0.3435           -0.125                0         -78855.8      1.47729e+06         -164.294
           0.3535           -0.125                0           -70841      1.22436e+06          263.916
           0.3635           -0.125                0         -62333.4           999574         -44.7303
           0.3735           -0.125                0         -54018.6           802749         -111.808
           0.3835           -0.125                0         -46646.3           633355          174.683
           0.3935           -0.125                0         -39163.5           488798         -40.4626
           0.4035           -0.125                0         -33382.5           366731           64.149
           0.4135           -0.125                0         -28417.4           263453          31.2974
           0.4235           -0.125                0         -24431.3           174604          63.1534
           0.4335           -0.125                0         -22204.1          96612.3         -4.57819
           0.4435           -0.125                0         -20907.7          23955.9          -8.3315
           0.0035           -0.115                0          72576.1          20542.2          21.8265
           0.0135           -0.115                0            72771          79330.3         -99.8969
           0.0235           -0.115                0          74489.1           139014          285.066
           0.0335           -0.115                0          76145.8           199617          29.4602
           0.0435           -0.115                0          78611.7           262250         -137.553
