            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
           0.0035           -0.125                0            16467            19211         -11.4216
           0.0135           -0.125                0          16594.9            75068          35.0731
           0.0235           -0.125                0          16883.7           131459         -10.6791
           0.0335           -0.125                0          17257.9           188961          6.03902
           0.0435           -0.125                0          17926.1           248329          40.6422
           0.0535           -0.125                0          18695.8           307326          28.2529
           0.0635           -0.125                0          19719.6           374890          51.8986
           0.0735           -0.125                0          20981.3           443590         -50.8204
           0.0835           -0.125                0          22722.5           517185          40.5079
           0.0935           -0.125                0          24590.3           596434          40.4711
           0.1035           -0.125                0          26888.5           682826         -128.313
           0.1135           -0.125                0          29555.3           777480          56.4408
           0.1235           -0.125                0          32859.6           882237          208.047
           0.1335           -0.125                0          36544.1           991856         -276.733
           0.1435           -0.125                0          41457.1      1.13137e+06          184.199
           0.1535           -0.125                0          46649.2      1.25618e+06         -179.134
           0.1635           -0.125                0          52901.1      1.44799e+06         -69.9634
           0.1735           -0.125                0          59523.5      1.63777e+06         -277.239
           0.1835           -0.125                0            65781       1.8492e+06         -196.273
           0.1935           -0.125                0          69439.5      1.98177e+06         -396.413
           0.2035           -0.125                0          70281.9      2.29699e+06         -106.917
           0.2135           -0.125                0            66357      2.54987e+06          19.2312
           0.2235           -0.125                0            57345       2.7586e+06          303.902
           0.2335           -0.125                0          41089.5      2.91386e+06         -329.153
           0.2435           -0.125                0          25746.6      3.03955e+06         -5.85611
           0.2535           -0.125                0          9158.56      3.09678e+06         -17.3508
           0.2635           -0.125                0         -5812.94      3.07538e+06         -309.825
           0.2735           -0.125                0         -19534.5      3.05913e+06          -266.75
           0.2835           -0.125                0         -32990.3      2.97112e+06         -54.6025
           0.2935           -0.125                0         -46633.8      2.61216e+06          65.5049
           0.3035           -0.125                0         -59715.4      2.65454e+06            536.3
           0.3135           -0.125                0         -70337.8      2.43603e+06         -35.9075
           0.3235           -0.125                0         -77680.8      2.18416e+06          13.0801
           0.3335           -0.125                0         -80749.5      1.91518e+06          93.0229
           0.3435           -0.125                0         -79750.5      1.64221e+06         -8.78336
           0.3535           -0.125                0         -74863.6      1.37981e+06        -0.282074
           0.3635           -0.125                0         -68687.7      1.13801e+06          159.993
           0.3735           -0.125                0         -60615.9           919775         -198.304
           0.3835           -0.125                0           -52194           728587         -211.653
           0.3935           -0.125                0         -45393.7           564183           158.01
           0.4035           -0.125                0         -38413.7           424205         -6.01323
           0.4135           -0.125                0         -32851.3           304940         -189.472
           0.4235           -0.125                0         -28378.5           202334         -35.0113
           0.4335           -0.125                0         -25602.4           112011          21.1694
           0.4435           -0.125                0         -24250.8          26990.5          33.9091
           0.0035           -0.115                0          74124.8          20921.7          68.6776
           0.0135           -0.115                0          74802.3          80898.6         -44.7728
           0.0235           -0.115                0          75902.3           141839          45.5062
           0.0335           -0.115                0          77758.4           203957          -80.374
           0.0435           -0.115                0          80525.4           267581          110.412
           0.0535           -0.115                0          84064.5           334046         -383.059
           0.0635           -0.115                0            88767           404275          137.042
           0.0735           -0.115                0          94326.3           477934          11.4092
           0.0835           -0.115                0           101796           556888          866.287
           0.0935           -0.115                0           110791           642586          519.519
           0.1035           -0.115                0           121074           735270         -208.977
           0.1135           -0.115                0           132339           836735          50.5737
           0.1235           -0.115                0           146607           947130         -47.4902
           0.1335           -0.115                0           164539      1.07449e+06         -583.769
           0.1435           -0.115                0           186322      1.21499e+06         -117.463
           0.1535           -0.115                0           210953      1.37415e+06          1228.09
           0.1635           -0.115                0           237774      1.55515e+06         -1230.58
           0.1735           -0.115                0           267989      1.76034e+06          118.623
           0.1835           -0.115                0           298139      1.99536e+06         -1477.54
           0.1935           -0.115                0           317709      2.24766e+06         -2256.61
           0.2035           -0.115                0           322643      2.51704e+06          -67.527
           0.2135           -0.115                0           303713       2.7873e+06          2618.68
           0.2235           -0.115                0           261516      3.03672e+06         -2338.75
           0.2335           -0.115                0           189692      3.22396e+06          4342.97
           0.2435           -0.115                0           114947      3.35263e+06           1547.3
           0.2535           -0.115                0          41703.1      3.40816e+06         -2709.45
           0.2635           -0.115                0         -32865.8      3.41468e+06         -3288.48
